Date/Time,Time,CPU Usage,Temperature
2017-05-02,14:09:18,19.4,61.8
2017-05-02,14:09:39,12.9,60.7
2017-05-02,14:10:01,22.7,63.9
2017-05-02,14:10:23,26.5,65
2017-05-02,14:10:45,27.5,66.6
2017-05-02,14:11:06,29,66.6
2017-05-02,14:11:28,28,67.7
2017-05-02,14:11:49,35.9,70.9
2017-05-02,14:12:10,29.2,70.4
2017-05-02,14:12:32,27.2,70.4
2017-05-02,14:12:54,26.4,70.9
2017-05-02,14:13:15,34.6,70.9
2017-05-02,14:13:36,14.3,68.2
2017-05-02,14:13:58,12.9,67.1
2017-05-02,14:14:19,10.8,66.1
2017-05-02,14:14:40,16.1,67.7
2017-05-02,14:15:02,15.9,67.1
2017-05-02,14:15:23,23.5,69.3
2017-05-02,14:15:45,19.6,69.3
2017-05-02,14:16:07,20.7,69.8
2017-05-02,14:16:28,22.6,69.8
2017-05-02,14:16:50,20.5,69.3
2017-05-02,14:17:12,17.4,69.3
2017-05-02,14:17:33,18.2,72
2017-05-02,14:17:54,28.5,69.8
2017-05-02,14:18:17,12.1,67.7
2017-05-02,14:18:39,10.2,67.7
2017-05-02,14:19:00,10.6,67.7
2017-05-02,14:19:22,13.3,67.1
2017-05-02,14:19:43,12.5,68.8
2017-05-02,14:20:05,15.2,68.2
2017-05-02,14:20:27,23,72
2017-05-02,14:20:48,26.7,70.4
2017-05-02,14:21:10,11.2,69.3
2017-05-02,14:21:31,12,69.8
2017-05-02,14:21:53,19.2,69.8
2017-05-02,14:22:14,11.2,68.2
2017-05-02,14:22:36,21.2,72
2017-05-02,14:22:58,38,72.5
2017-05-02,14:23:19,8.1,68.8
2017-05-02,14:23:41,13.7,68.8
2017-05-02,14:24:02,11.4,69.3
2017-05-02,14:24:24,9.2,68.8
2017-05-02,14:24:45,9,68.8
2017-05-02,14:25:07,7.5,68.2
2017-05-02,14:25:28,7.1,67.1
2017-05-02,14:25:50,35,75.2
2017-05-02,14:26:11,37.2,73.1
2017-05-02,14:26:33,12.1,71.4
2017-05-02,14:26:54,12,70.9
2017-05-02,14:27:15,8.4,69.3
2017-05-02,14:27:37,12.4,69.8
2017-05-02,14:27:58,10,69.8
2017-05-02,14:28:19,9,68.8
2017-05-02,14:28:41,8.7,68.8
2017-05-02,14:29:02,7.6,67.7
2017-05-02,14:29:24,8.3,66.6
2017-05-02,14:29:45,7.9,67.7
2017-05-02,14:30:07,7.3,67.7
2017-05-02,14:30:29,9.1,67.7
2017-05-02,14:30:50,12.4,69.8
2017-05-02,14:31:12,12.5,69.3
2017-05-02,14:31:33,10.1,69.3
2017-05-02,14:31:55,8.3,68.8
2017-05-02,14:32:16,8.5,68.2
2017-05-02,14:32:38,6.6,67.1
2017-05-02,14:32:59,7.2,67.7
2017-05-02,14:33:21,8.1,67.1
2017-05-02,14:33:42,7.7,67.1
2017-05-02,14:34:03,7.3,68.8
2017-05-02,14:34:25,8,66.6
2017-05-02,14:34:46,14.6,67.7
2017-05-02,14:35:08,10,68.8
2017-05-02,14:35:29,9.7,67.7
2017-05-02,14:35:50,11.1,68.8
2017-05-02,14:36:12,8.3,67.7
2017-05-02,14:36:33,7.9,67.7
2017-05-02,14:36:54,7.1,67.7
2017-05-02,14:37:16,6.8,68.8
2017-05-02,14:37:38,7.2,67.1
2017-05-02,14:37:59,6.7,66.6
2017-05-02,14:38:20,8.3,67.7
2017-05-02,14:38:42,7.7,67.7
2017-05-02,14:39:04,12.1,69.8
2017-05-02,14:39:26,8.3,68.8
2017-05-02,14:39:48,8.6,67.7
2017-05-02,14:40:09,8.7,68.8
2017-05-02,14:40:30,9.5,68.8
2017-05-02,14:40:52,8.8,68.8
2017-05-02,14:41:14,10.2,69.3
2017-05-02,14:41:36,48.4,77.4
2017-05-02,14:41:57,52.8,78.4
2017-05-02,14:42:19,36.3,75.2
2017-05-02,14:42:41,13.9,73.1
2017-05-02,14:43:02,19.1,74.1
2017-05-02,14:43:23,33.9,77.9
2017-05-02,14:43:45,23.8,74.1
2017-05-02,14:44:06,20,74.7
2017-05-02,14:44:28,16.1,73.1
2017-05-02,14:44:50,10.9,74.1
2017-05-02,14:45:11,14.4,73.1
2017-05-02,14:45:32,22.8,75.2
2017-05-02,14:45:54,13.1,72
2017-05-02,14:46:16,13.9,72
2017-05-02,14:46:38,12.3,72
2017-05-02,14:47:00,20.9,74.7
2017-05-02,14:47:22,28.5,76.8
2017-05-02,14:47:43,27.2,77.4
2017-05-02,14:48:05,29.6,77.9
2017-05-02,14:48:27,31.6,79.5
2017-05-02,14:48:49,34,80.1
2017-05-02,14:49:11,35.9,82.2
2017-05-02,14:49:33,24.2,76.3
2017-05-02,14:49:54,15.1,75.2
2017-05-02,14:50:16,9.9,75.2
2017-05-02,14:50:37,11.1,74.1
2017-05-02,14:50:59,11.5,74.1
2017-05-02,14:51:21,13.4,74.1
2017-05-02,14:51:42,11.7,73.1
2017-05-02,14:52:03,11.3,73.1
2017-05-02,14:52:25,10.6,72.5
2017-05-02,14:52:46,13,71.4
2017-05-02,14:53:08,11.3,72
2017-05-02,14:53:29,9.6,70.9
2017-05-02,14:53:51,10.3,70.9
2017-05-02,14:54:12,13.5,70.9
2017-05-02,14:54:34,11.7,70.4
2017-05-02,14:54:55,10.9,70.9
2017-05-02,14:55:17,11.7,70.9
2017-05-02,14:55:38,21.1,74.7
2017-05-02,14:56:00,28.5,76.8
2017-05-02,14:56:21,43,79.5
2017-05-02,14:56:42,37.1,80.6
2017-05-02,14:57:03,33.6,80.6
2017-05-02,14:57:24,33.3,80.6
2017-05-02,14:57:45,30.2,80.6
2017-05-02,14:58:07,32.1,80.6
2017-05-02,14:58:29,22.9,79
2017-05-02,14:58:51,29.4,81.1
2017-05-02,14:59:12,32.8,81.7
2017-05-02,14:59:34,34.7,81.7
2017-05-02,14:59:55,37.1,82.7
2017-05-02,15:00:17,33.5,82.2
2017-05-02,15:00:38,33.6,82.7
2017-05-02,15:00:59,34,82.7
2017-05-02,15:01:21,35,82.7
2017-05-02,15:01:42,35.2,82.2
2017-05-02,15:02:04,29.9,82.2
2017-05-02,15:02:25,31.8,81.7
2017-05-02,15:02:47,33.2,82.7
2017-05-02,15:03:08,35.6,83.8
2017-05-02,15:03:30,41.3,82.2
2017-05-02,15:03:51,24.5,80.6
2017-05-02,15:04:12,22.2,80.1
2017-05-02,15:04:33,21.9,80.1
2017-05-02,15:04:54,21.6,79.5
2017-05-02,15:05:16,22.6,79.5
2017-05-02,15:05:37,21.9,79
2017-05-02,15:05:59,21.5,79
2017-05-02,15:06:20,20.2,79.5
2017-05-02,15:06:41,21.2,79.5
2017-05-02,15:07:25,22.3,77.9
2017-05-02,15:07:47,21.7,77.4
2017-05-02,15:08:08,21.8,77.9
2017-05-02,15:08:30,20.7,77.9
2017-05-02,15:08:52,21.1,78.4
2017-05-02,15:09:13,21.2,77.4
2017-05-02,15:09:35,21.2,77.4
2017-05-02,15:09:57,20.4,77.4
2017-05-02,15:10:19,22.1,77.9
2017-05-02,15:10:40,22.4,78.4
2017-05-02,15:11:02,20.1,77.4
2017-05-02,15:11:24,20.7,77.4
2017-05-02,15:11:45,24.3,77.9
2017-05-02,15:12:07,21.5,77.9
2017-05-02,15:12:28,21.5,77.4
2017-05-02,15:12:50,21,78.4
2017-05-02,15:13:12,20.7,77.4
2017-05-02,15:13:35,21.8,77.4
2017-05-02,15:13:56,20.8,77.4
2017-05-02,15:14:18,21.3,77.4
2017-05-02,15:14:40,21.4,77.9
2017-05-02,15:15:02,20.3,77.9
2017-05-02,15:15:24,25,79.5
2017-05-02,15:15:45,25,74.7
2017-05-02,15:16:07,6.5,72
2017-05-02,15:16:28,3.3,71.4
2017-05-02,15:16:50,3.5,70.9
2017-05-02,15:17:12,2.8,69.8
2017-05-02,15:17:33,3.1,68.8
2017-05-02,15:17:55,3.4,68.8
2017-05-02,15:18:17,3.3,67.7
2017-05-02,15:18:38,3.5,67.7
2017-05-02,15:19:00,3.4,67.7
2017-05-02,15:19:22,3.2,66.1
2017-05-02,15:19:43,3.4,65.5
